stkcod,stkdes,docdat,loccod,trnqty               ,tqucod, unitpr                 ,trnbal,newbal,
U-BMMX0815-1700,FASHION-MM815-น้ำตาล[BROWN],31/3/2015,01 ,12,คู่, 240.00 ,2880,,
U-BMMX0819-1200,FASHION-MM819-ดำ[BLACK],31/3/2015,01 ,192,คู่, 250.00 ,48000,,
U-BMMX0819-1700,FASHION-MM819-น้ำตาล[BROWN],31/3/2015,01 ,192,คู่, 250.00 ,48000,,
U-BMMX0819-2100,FASHION-MM819-เหลือง[YELLOW],31/3/2015,01 ,204,คู่, 250.00 ,51000,,
U-BMMX0820-1200,FASHION-MM820-ดำ[BLACK],31/3/2015,01 ,84,คู่, 250.00 ,21000,,
U-BMMX0820-1700,FASHION-MM820-น้ำตาล[BROWN],31/3/2015,01 ,120,คู่, 250.00 ,30000,,
U-BMMX0821-1200,FASHION-MM821-ดำ[BLACK],31/3/2015,01 ,120,คู่, 260.00 ,31200,,
U-BMMX0821-1700,FASHION-MM821-น้ำตาล[BROWN],31/3/2015,01 ,120,คู่, 260.00 ,31200,,
U-BMMX1221-1200,FASHION-MM1221-ดำ[BLACK],31/3/2015,01 ,492,คู่," 3,894.66 ",1916171.01,,
U-BMMX1221-1700,FASHION-MM1221-น้ำตาล[BROWN],31/3/2015,01 ,72,คู่, 260.00 ,18720,,
U-BMMX805A-1600,FASHION-MM805A-น้ำตาลอ่อน[COFFEE],31/3/2015,01 ,12,คู่, 240.00 ,2880,,
U-BMMX806A-1700,FASHION-MM806A-น้ำตาล[BROWN],31/3/2015,01 ,48,คู่, 240.00 ,11520,,
U-BMMX806A-2100,FASHION-MM806A-เหลือง[YELLOW],31/3/2015,01 ,48,คู่, 240.00 ,11520,,
U-BMXX0025-1215,FASHION-M25-ดำแดง[BLACK/RED],31/3/2015,01 ,576,คู่, 120.00 ,69120,,
U-BMXX0025-1223,FASHION-M25-ดำเทา[BLACK/GREY],31/3/2015,01 ,504,คู่, 120.00 ,60480,,
U-BMXX0025-1724,FASHION-M25-น้ำตาลส้ม[BROWN/ORANGE],31/3/2015,01 ,1080,คู่, 120.00 ,129600,,
U-BMXX0025-1822,FASHION-M25-กรมน้ำเงิน[NAVY/DR.BLUE],31/3/2015,01 ,912,คู่, 120.00 ,109440,,
U-BMXX0025-2621,FASHION-M25-เขียวเหลือง[GREEN/YELLOW],31/3/2015,01 ,816,คู่, 120.00 ,97920,,
U-BMXX0026-1223,FASHION-M26-ดำเทา[BLACK/GREY],31/3/2015,01 ,1344,คู่, 80.00 ,107520,,
U-BMXX0026-1612,FASHION-M26-น้ำตาลอ่อนดำ[COFFEE/BLACK],31/3/2015,01 ,1368,คู่, 80.00 ,109440,,
U-BMXX0026-1823,FASHION-M26-กรมเทา[NAVY/GREY],31/3/2015,01 ,1368,คู่, 80.00 ,109440,,
U-BMXX0026-2312,FASHION-M26-เทาดำ[GREY/BLACK],31/3/2015,01 ,1344,คู่, 80.00 ,107520,,
U-BMXX0071-1213,BINSIN-M71-ดำขาว[BLACK/WHITE],31/3/2015,01 ,72,คู่, 95.00 ,6840,,
U-BMXX0071-1215,BINSIN-M71-ดำแดง[BLACK/RED],31/3/2015,01 ,744,คู่, 95.00 ,70680,,
U-BMXX0071-1221,BINSIN-M71-ดำเหลือง[BLACK/YELLOW],31/3/2015,01 ,600,คู่, 95.00 ,57000,,
U-BMXX0071-1222,BINSIN-M71-ดำน้ำเงิน[BLACK/DR.BLUE],31/3/2015,01 ,72,คู่, 95.00 ,6840,,
U-BMXX0071-1224,BINSIN-M71-ดำส้ม[BLACK/ORANGE],31/3/2015,01 ,672,คู่, 95.00 ,63840,,
U-BMXX0077-1215,BINSIN-M77-ดำแดง[BLACK/RED],31/3/2015,01 ,456,คู่, 65.00 ,29640,,
U-BMXX0077-1823,BINSIN-M77-กรมเทา[NAVY/GREY],31/3/2015,01 ,360,คู่, 65.00 ,23400,,
U-BMXX0077-2312,BINSIN-M77-เทาดำ[GREY/BLACK],31/3/2015,01 ,48,คู่, 65.00 ,3120,,
U-BMXX0080-1215,BINSIN-M80-ดำแดง[BLACK/RED],31/3/2015,01 ,624,คู่, 80.00 ,49920,,
U-BMXX0080-1223,BINSIN-M80-ดำเทา[BLACK/GREY],31/3/2015,01 ,408,คู่, 80.00 ,32640,,
U-BMXX0080-1714,BINSIN-M80-น้ำตาลครีม[BROWN/APRICOT],31/3/2015,01 ,264,คู่, 80.00 ,21120,,
U-BMXX0080-2026,BINSIN-M80-กากีเขียว[KHAKI/GREEN],31/3/2015,01 ,96,คู่, 80.00 ,7680,,
U-BMXX0080-2312,BINSIN-M80-เทาดำ[GREY/BLACK],31/3/2015,01 ,192,คู่, 80.00 ,15360,,
